AbilityID,DisplayName,Description,UICategory,UISpellForManaCheck,Icon,StatusEffectIcon,Sound,TelegraphStatusEffect,TelegraphCountOffset,OnEquipStatusEffect,WeaponTag,RequiredAbilityId,TreeId,TreeRowPosition,TreeColumnPosition,IsActiveAbility,IsGlobalAbility,ScalingStrength,ScalingDexterity,ScalingIntelligence,ScalingSpirit,ScalingConstitution,OnKill,OnExecuted,OnHit,OnBlockedHit,OnCrit,OnHeadShot,OnLegShot,OnHitTaken,OnBlockedHitTaken,OnBlockBreak,OnTargetBlockBreak,OnDeath,OnDeathsDoor,RequireReaction,NumSuccessfulHits,NumConsecutiveHits,MaxConsecutiveHits,ResetConsecutiveOnSuccess,TrackHitCount,MaxTrackedHitCounts,NumberOfTrackedHits,NumberOfHitsComparisonType,DamageIsRanged,DamageIsMelee,ForceShowNameTag,TargetHasGritActive,DamageTableRow,RemoteDamageTableRow,RangedAttackName,AttackType,StatusEffect,StatusEffectCategories,TargetStatusEffect,TargetStatusEffectCategory,TargetStatusEffectStackSize,TargetStatusEffectComparison,TargetCollisionFilters,TargetMarker,MyHealthPercent,MyComparisonType,MyStaminaPercent,MyStaminaComparisonType,TargetHealthPercent,TargetComparisonType,DistFromDefender,DistComparisonType,NumAroundMe,NumAroundComparisonType,AbilityList,AbilityTrigger,InAction,InActionTime,AfterAction,BaseDamage,BaseDamageReduction,BlockDamage,BlockDamageReduction,CritDamage,CritChance,HeadshotDamage,StaggerDamage,StaggerDamageReduction,HitRateDmg,HitRateDmgReduction,HealthDamageMitigation,ThreatDamage,ArmorPenetration,PhysicalArmor,ElementalArmor,Knockback,WeaponAccuracy,Health,DmgPctToHealth,MaxHealth,Mana,MaxMana,DamageTableRowOverride,StatusEffectDamageTableRowOverride,ForceStatusEffectDamageTableRow,RangedAttackNameOverride,DamageTableStatusEffectOverride,EnableCrit,PerStatusEffectOnTarget,ForceTakeStaminaDamage,CastSpell,SelfApplyStatusEffect,OtherApplyStatusEffect,SetPotencyAsCount,MultiplyRemovedByPotency,RemoveStatusEffects,StatusEffectsList,StatusEffectCategoriesList,RemoveTargetStatusEffectsList,ConsumeTargetStatusEffectMult,StatusEffectDurationReduction,TargetStatusEffectDurationList,TargetStatusEffectDurationMod,TargetStatusEffectDurationMult,Duration,CooldownId,CDRImmediatelyOptions,ResetCooldownTimers,CooldownTimer,NumFreeCooldownsPerUse,MaxHitCountMultiplier,SetMannequinTag,SetMannequinTagStatus
Passive_Firestaff_FireMage_ManaOnHit,@Passive_Firestaff_FireMage_ManaOnHit,@Passive_Firestaff_FireMage_ManaOnHit_description,Passive,,lifestaffAbility1_mod1,,,,,,Fire,,0,0,1,false,false,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,,0,0,0,,false,0,,,,,,,Firestaff_PrimaryAttackC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passive_Firestaff_FireMage_CDRHeavy,@Passive_Firestaff_FireMage_CDRHeavy,@Passive_Firestaff_FireMage_CDRHeavy_description,Passive,,swordAbility1_mod1,,,,,,Fire,,0,0,3,false,false,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,,0,0,0,,false,0,,,,,,,Firestaff_PrimaryAttackC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ActiveWeapon,,-0.1,,,,
Passive_Firestaff_FireMage_DmgFullMana,@Passive_Firestaff_FireMage_DmgFullMana,@Passive_Firestaff_FireMage_DmgFullMana_description,Passive,,spear_BonusDmgVsGrit,,,,,,Fire,,0,1,4,false,false,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,,0,0,0,,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passive_Firestaff_FireMage_HeavyNoMana,@Passive_Firestaff_FireMage_HeavyNoMana,@Passive_Firestaff_FireMage_HeavyNoMana_description,Passive,,lifestaffPassive11,,,,,,Fire,,0,4,1,false,false,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,,0,0,0,,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passive_Firestaff_FireMage_CritBurn,@Passive_Firestaff_FireMage_CritBurn,@Passive_Firestaff_FireMage_CritBurn_description,Passive,,swordPassive5,,,,,,Fire,,0,2,3,false,false,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0,0,0,,false,0,,,,,,,Firestaff_PrimaryAttackC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Firestaff_PrimaryAttackC1_BurnDoT,,,,,,,,,,FireStaff_Pyro_DOT,,,,,,,,,,,,,,,,,,,,
Passive_Firestaff_FireMage_Crit,@Passive_Firestaff_FireMage_Crit,@Passive_Firestaff_FireMage_Crit_description,Passive,,swordPassive3,,,,,,Fire,,0,3,1,false,false,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,,0,0,0,,false,0,,,,,,,"Firestaff_SpeedBombs,Firestaff_SpeedBombs_DMG,Firestaff_Pillar,Firestaff_Pillar_DMG,Firestaff_Pillar_Mana,Firestaff_Siege,Firestaff_Siege_AOE,Firestaff_Siege_DMG,FireStaff_Storm,Firestaff_Incinerate,Firestaff_Incinerate_Damage,Firestaff_Incinerate_COMBUST,FireStaff_FlameThrower,FireStaff_FlameThrower_DMG_Upgrade,FireStaff_FireDash,FireStaff_FireDash_Upgrade",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passive_Firestaff_FireMage_DmgNoDmg,@Passive_Firestaff_FireMage_DmgNoDmg,@Passive_Firestaff_FireMage_DmgNoDmg_description,Passive,,Rapier_EvasionPass1_Perfectionist,,,,,,Fire,,0,3,3,false,false,,,,,,false,false,false,false,false,false,false,true,false,false,false,false,false,,1,0,0,,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status_Passive_Firestaff_FireMage_DmgNoDmg_Timer,,,,AbilitySpecific,Status_Passive_Firestaff_FireMage_DmgNoDmg,,,,,,,,,,,,,,,,
Passive_Firestaff_FireMage_CritDmg,@Passive_Firestaff_FireMage_CritDmg,@Passive_Firestaff_FireMage_CritDmg_description,Passive,,Spear_BonusHvyDmgConsec,,,,,,Fire,,0,4,0,false,false,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,,0,0,0,,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passive_Firestaff_FireMage_Ultimate,@Passive_Firestaff_FireMage_Ultimate,@Passive_Firestaff_FireMage_Ultimate_description,Passive,,GreatAxe_Ability6_GravityWell,,Play_UI_WeaponSkills_FireStaff_Ultimate_1,,,,Fire,,0,5,2,false,false,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,,0,0,0,,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ability_Firestaff_Incinerate,@Ability_Firestaff_Incinerate,@Ability_Firestaff_Incinerate_description,Magic Damage,FireStaff_Incinerate,firestaffAbility6,,Play_UI_WeaponSkills_FireStaff_Ability_4,,,,Fire,,1,1,0,true,false,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,,0,0,0,,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ability_Firestaff_Incinerate,,,,,,,
Upgrade_Firestaff_Incinerate_Burn,@Upgrade_Firestaff_Incinerate_Burn,@Upgrade_Firestaff_Incinerate_Burn_description,Magic Damage,,firestaffAbility6_mod1,,,,,,Fire,Ability_Firestaff_Incinerate,1,2,0,false,false,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,,0,0,0,,false,0,,,,,,,Firestaff_Incinerate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upgrade_Firestaff_Incinerate_Heal,@Upgrade_Firestaff_Incinerate_Heal,@Upgrade_Firestaff_Incinerate_Heal_description,Magic Damage,,spear_BonusDmgVsLowHP,,,,,,Fire,Ability_Firestaff_Incinerate,1,3,0,false,false,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0,0,0,,false,0,,,,,,,Firestaff_Incinerate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upgrade_Firestaff_Incinerate_Double,@Upgrade_Firestaff_Incinerate_Double,@Upgrade_Firestaff_Incinerate_Double_description,Magic Damage,,firestaffAbility6_mod3,,,,,,Fire,Ability_Firestaff_Incinerate,1,4,0,false,false,,,,,,false,false,true,true,false,false,false,false,false,false,false,false,false,,0,0,0,,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ability_Firestaff_FlameThrower,@Ability_Firestaff_FlameThrower,@Ability_Firestaff_FlameThrower_description,Magic Damage,FireStaff_FlameThrower,firestaffAbility4,,Play_UI_WeaponSkills_FireStaff_Ability_5,,,,Fire,,1,0,2,true,false,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,,0,0,0,,false,0,,,,,,,FireStaff_FlameThrower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Common_DamageOverTime_Override,,,,,,,,,,,,,,,,,,,,,,Ability_Firestaff_FlameThrower,,,,,,,
Upgrade_Firestaff_FlameThrower_Rng,@Upgrade_Firestaff_FlameThrower_Rng,@Upgrade_Firestaff_FlameThrower_Rng_description,Magic Damage,,firestaffAbility4_mod2,,,,,,Fire,Ability_Firestaff_FlameThrower,1,1,2,false,false,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,,0,0,0,,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upgrade_Firestaff_FlameThrower_Dmg,@Upgrade_Firestaff_FlameThrower_Dmg,@Upgrade_Firestaff_FlameThrower_Dmg_description,Magic Damage,,firestaffAbility4_mod1,,,,,,Fire,Ability_Firestaff_FlameThrower,1,2,2,false,false,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,,0,0,0,,false,0,,,,,,,FireStaff_FlameThrower,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upgrade_Firestaff_FlameThrower_NoCooldown,@Upgrade_Firestaff_FlameThrower_NoCooldown,@Upgrade_Firestaff_FlameThrower_NoCooldown_description,Magic Damage,,musketAbility3_Mod2,,,,,,Fire,Ability_Firestaff_FlameThrower,1,3,2,false,false,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,,0,0,0,,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ability_Firestaff_BurnOut,@Ability_Firestaff_BurnOut,@Ability_Firestaff_BurnOut_description,Magic Damage,FireStaff_Speed_Intro,firestaffAbility5,,Play_UI_WeaponSkills_FireStaff_Ability_6,,,,Fire,,1,2,4,true,false,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,,0,0,0,,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ability_Firestaff_BurnOut,,,,,,,
Upgrade_Firestaff_BurnOut_CDR,@Upgrade_Firestaff_BurnOut_CDR,@Upgrade_Firestaff_BurnOut_CDR_description,Magic Damage,,firestaffAbility5_mod1,,,,,,Fire,Ability_Firestaff_BurnOut,1,3,4,false,false,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0,0,0,,false,0,,,,,,,FireStaff_FireDash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ActiveWeapon,,-0.05,,,,
Upgrade_Firestaff_BurnOut_Aoe,@Upgrade_Firestaff_BurnOut_Aoe,@Upgrade_Firestaff_BurnOut_Aoe_description,Magic Damage,,firestaffAbility5_mod2,,,,,,Fire,Ability_Firestaff_BurnOut,1,4,4,false,false,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,,0,0,0,,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passive_Firestaff_Pyro_DmgOnLow,@Passive_Firestaff_Pyro_DmgOnLow,@Passive_Firestaff_Pyro_DmgOnLow_description,Passive,,hatchetAbility3_mod2,,,,,,Fire,,1,0,1,false,false,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,,0,0,0,,false,0,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passive_Firestaff_Pyro_ManaOnblock,@Passive_Firestaff_Pyro_ManaOnblock,@Passive_Firestaff_Pyro_ManaOnblock_description,Passive,,musketPassive9,,,,,,Fire,,1,1,1,false,false,,,,,,false,false,false,false,false,false,false,false,true,false,false,false,false,,1,0,0,,false,0,,,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,Block_UpperBody,0.5,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passive_Firestaff_Pyro_FortOnBurn,@Passive_Firestaff_Pyro_FortOnBurn,@Passive_Firestaff_Pyro_FortOnBurn_description,Passive,,warhammerAbility6_mod1,,,,,,Fire,,1,1,3,false,false,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,,1,0,0,,false,0,,,,,,,,,,,,,FireStaff_Pyro_DOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status_Passive_Firestaff_Pyro_FortOnBurn,,,,,,,,,,,,,,,,,,,,,
Passive_Firestaff_Pyro_ManaOnBurn,@Passive_Firestaff_Pyro_ManaOnBurn,@Passive_Firestaff_Pyro_ManaOnBurn_description,Passive,,firestaffAbility5_mod2,,,,,,Fire,,1,2,1,false,false,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,,0,0,0,,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FireStaff_Pyro_DOT,,0.2,,,,,,,,,
Passive_Firestaff_Pyro_BurnOnLight,@Passive_Firestaff_Pyro_BurnOnLight,@Passive_Firestaff_Pyro_BurnOnLight_description,Passive,,Spear_Skewer,,,,,,Fire,,1,3,3,false,false,,,,,,false,false,false,false,true,false,false,false,false,false,false,false,false,true,0,0,0,,false,0,,,,,,,,,,Ability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FireStaff_Pyro_DOT,,,,,,,,,,,,,,,,,,,,
Passive_Firestaff_Pyro_BurnNearby,@Passive_Firestaff_Pyro_BurnNearby,@Passive_Firestaff_Pyro_BurnNearby_description,Passive,,GreatAxe_Ability6Pass1_CrowdedWell,,,,,,Fire,,1,4,1,false,false,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,,0,0,0,,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passive_Firestaff_Pyro_Haste,@Passive_Firestaff_Pyro_Haste,@Passive_Firestaff_Pyro_Haste_description,Passive,,Rapier_EvasionPass4_ArtofBattle,,,,,,Fire,,1,4,3,false,false,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,,0,0,0,,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passive_Firestaff_Pyro_Ultimate,@Passive_Firestaff_Pyro_Ultimate,@Passive_Firestaff_Pyro_Ultimate_description,Passive,,lifestaffAbility4_mod2,,Play_UI_WeaponSkills_FireStaff_Ultimate_2,,,,Fire,,1,5,2,false,false,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,,0,0,0,,false,0,,,,,,,FireStaff_FlameThrower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status_Passive_Firestaff_Pyro_Ultimate_Timer,,,,,,,,,,,,,,,,,,,,,
