ConversationTopicId,PlayerPrompt,NPCResponse,AchievementUnlock,RequiredAchievement,RequiredFaction,RequiredLevel,ProvidedTopics
Topic_95_s04_07_Talk_Morgaine_MordredFrozen,@95_s04_07_WrapFrost_Talk_Morgaine_MordredFrozen_prompt,@95_s04_07_WrapFrost_Talk_Morgaine_MordredFrozen_response,,,,,
Topic_95_s04_02_Talk_Rima_Candidates,@95_s04_02_GetDaichi_Talk_Rima_Candidates_prompt,@95_s04_02_GetDaichi_Talk_Rima_Candidates_response,,,,,
Topic_95_s04_04_Talk_Rima_ScholarER,@95_s04_04_FightMage_Talk_Rima_ScholarER_prompt,@95_s04_04_FightMage_Talk_Rima_ScholarER_response,,,,,
Topic_95_s04_04_Talk_Rima_ArtoriusVLN,@95_s04_04_FightMage_Talk_Rima_ArtoriusVLN_prompt,@95_s04_04_FightMage_Talk_Rima_ArtoriusVLN_response,,,,,
Topic_95_s04_04_Talk_Rima_CantGetThrough,@95_s04_04_FightMage_Talk_Rima_CantGetThrough_prompt,@95_s04_04_FightMage_Talk_Rima_CantGetThrough_response,,,,,
Topic_95_s04_04_Talk_Rima_MordredNotWork,@95_s04_04_FightMage_Talk_Rima_MordredNotWork_prompt,@95_s04_04_FightMage_Talk_Rima_MordredNotWork_response,,,,,
Topic_95_s04_06_Talk_Rima_LizardPuzzle,@95_s04_06_StopDevice_Talk_Rima_LizardPuzzle_prompt,@95_s04_06_StopDevice_Talk_Rima_LizardPuzzle_response,,,,,
Topic_95_s04_06_Talk_Rima_DefeatedMordred,@95_s04_06_StopDevice_Talk_Rima_DefeatedMordred_prompt,@95_s04_06_StopDevice_Talk_Rima_DefeatedMordred_response,,,,,
Topic_95_s04_01_Talk_Skye_Varangians,@95_s04_01_SearchRing_Talk_Skye_Varangians_prompt,@95_s04_01_SearchRing_Talk_Skye_Varangians_response,,,,,
Topic_95_s04_01_Talk_Skye_Varangians_dnm,@95_s04_01_SearchRing_Talk_Skye_Varangians_prompt,@95_s04_01_SearchRing_Talk_Skye_Varangians_response_dnm,,,,,
Topic_95_s04_01_Talk_Skye_Mordred,@95_s04_01_SearchRing_Talk_Skye_Mordred_prompt,@95_s04_01_SearchRing_Talk_Skye_Mordred_response,,,,,
Topic_95_s04_01_Talk_Skye_AfterCaves,@95_s04_01_SearchRing_Talk_Skye_AfterCaves_prompt,@95_s04_01_SearchRing_Talk_Skye_AfterCaves_response,,,,,
Topic_95_s04_01_Talk_Skye_NeedFire,@95_s04_01_SearchRing_Talk_Skye_NeedFire_prompt,@95_s04_01_SearchRing_Talk_Skye_NeedFire_response,,,,,
Topic_95_s04_03_Talk_Skye_EscortPrisoners,@95_s04_03_EnterCastle_Talk_Skye_EscortPrisoners_prompt,@95_s04_03_EnterCastle_Talk_Skye_EscortPrisoners_response,,,,,
Topic_95_s04_04_Talk_Skye_StayOutside,@95_s04_04_FightMage_Talk_Skye_StayOutside_prompt,@95_s04_04_FightMage_Talk_Skye_StayOutside_response,,,,,
Topic_95_s04_07_Talk_Skye_DefeatedMordred,@95_s04_07_WrapFrost_Talk_Skye_DefeatedMordred_prompt,@95_s04_07_WrapFrost_Talk_Skye_DefeatedMordred_response,,,,,
Topic_95_s04_07_Talk_Skye_FinishQuest,@95_s04_07_WrapFrost_Talk_Skye_FinishQuest_prompt,@95_s04_07_WrapFrost_Talk_Skye_FinishQuest_response,,,,,
Topic_95_s04_04_Talk_Skye_MordredHasStaff,@95_s04_04_FightMage_Talk_Skye_MordredHasStaff_prompt,@95_s04_04_FightMage_Talk_Skye_MordredHasStaff_response,,,,,
Topic_95_s04_02_Talk_Zander_HowDaichi,@95_s04_02_GetDaichi_Talk_Zander_HowDaichi_prompt,@95_s04_02_GetDaichi_Talk_Zander_HowDaichi_response,,,,,
Topic_95_s04_03_Talk_Zander_HowChessboard,@95_s04_03_EnterCastle_Talk_Zander_HowChessboard_prompt,@95_s04_03_EnterCastle_Talk_Zander_HowChessboard_response,,,,,
Topic_95_s04_07_Talk_Grace_FinishQuest,@95_s04_07_WrapFrost_Talk_Grace_FinishQuest_prompt,@95_s04_07_WrapFrost_Talk_Grace_FinishQuest_response,,,,,
Topic_95_s04_04_Talk_Scholar_ArtoriusMordred,@95_s04_04_FightMage_Talk_Scholar_ArtoriusMordred_prompt,@95_s04_04_FightMage_Talk_Scholar_ArtoriusMordred_response,,,,,
Topic_95_s04_04_Talk_MagicDoor_FirstTry,@95_s04_04_FightMage_Talk_MagicDoor_FirstTry_prompt,@95_s04_04_FightMage_Talk_MagicDoor_FirstTry_response,,,,,
Topic_95_s04_04_Talk_MagicDoor_Unlock,@95_s04_04_FightMage_Talk_MagicDoor_Unlock_prompt,@95_s04_04_FightMage_Talk_MagicDoor_Unlock_response,,,,,
Topic_95_s04_04_Talk_Dog_CrumblyWall,@95_s04_04_FightMage_Talk_Dog_CrumblyWall_prompt,@95_s04_04_FightMage_Talk_Dog_CrumblyWall_response,,,,,
Topic_95_s04_06_Talk_Dog_StayGuard,@95_s04_06_StopDevice_Talk_Dog_StayGuard_prompt,@95_s04_06_StopDevice_Talk_Dog_StayGuard_response,,,,,
Topic_95_s04_06_Talk_Dog_DefeatedMordred,@95_s04_06_StopDevice_Talk_Dog_DefeatedMordred_prompt,@95_s04_06_StopDevice_Talk_Dog_DefeatedMordred_response,,,,,
