ConversationTopicId,PlayerPrompt,NPCResponse,AchievementUnlock,RequiredAchievement,RequiredFaction,RequiredLevel,ProvidedTopics
Topic_95_s01_06_TalkTo_Skye_Straight,@95_s01_06_TEMP_SupplyChains_TalkToSkye_Straight_prompt,@95_s01_06_TEMP_SupplyChains_TalkToSkye_Straight_next,95_s01_skye_straight,,,,
Topic_95_s01_06_TalkTo_Skye_Joke,@95_s01_06_TEMP_SupplyChains_TalkToSkye_Joke_prompt,@95_s01_06_TEMP_SupplyChains_TalkToSkye_Joke_next,95_s01_skye_joke,,,,
Topic_95_s01_06_TalkTo_Skye_Flirt,@95_s01_06_TEMP_SupplyChains_TalkToSkye_Flirt_prompt,@95_s01_06_TEMP_SupplyChains_TalkToSkye_Flirt_next,95_s01_skye_flirt,,,,
Topic_95_s01_06_TalkTo_Fergus_GoAway,@95_s01_06_TEMP_SupplyChains_TalkTo_Fergus_GoAway_prompt,@95_s01_06_TEMP_SupplyChains_TalkTo_Fergus_GoAway_next,,,,,
Topic_95_s01_06_TalkTo_Fergus_GetInfo,@95_s01_06_TEMP_SupplyChains_TalkTo_Fergus_GetInfo_prompt,@95_s01_06_TEMP_SupplyChains_TalkTo_Fergus_GetInfo_next,,,,,
Topic_95_s01_07_TalkTo_Zander_Fire,@95_s01_07_TEMP_PossibilitiesOfFire_TalkTo_Zander_Fire_prompt,@95_s01_07_TEMP_PossibilitiesOfFire_TalkTo_Zander_Fire_next,,,,,
Topic_95_s01_08_TalkTo_Grace_AidynCaptured,@95_s01_08_TEMP_HotOnTheTrail_TalkTo_Grace_AidynCaptured_prompt,@95_s01_08_TEMP_HotOnTheTrail_TalkTo_Grace_AidynCaptured_next,,,,,
Topic_95_s01_08_TalkTo_Skye_AidynCaptured,@95_s01_08_TEMP_HotOnTheTrail_TalkTo_Skye_AidynCaptured_prompt,@95_s01_08_TEMP_HotOnTheTrail_TalkTo_Skye_AidynCaptured_next,,,,,
Topic_95_s01_09_TalkTo_Skye_Faceless,@95_s01_09_TEMP_Faceless_TalkTo_Skye_Hiding_prompt,@95_s01_09_TEMP_Faceless_TalkTo_Skye_Hiding_next,,,,,
Topic_95_s01_09_TalkTo_Zander_Faceless,@95_s01_09_TEMP_Faceless_TalkTo_Zander_Hiding_prompt,@95_s01_09_TEMP_Faceless_TalkTo_Zander_Hiding_next,,,,,
Topic_95_s01_09_TalkTo_Dog_Faceless,@95_s01_09_TEMP_Faceless_TalkTo_Dog_Hiding_prompt,@95_s01_09_TEMP_Faceless_TalkTo_Dog_Hiding_next,,,,,
Topic_95_s01_10_TalkTo_Skye_Styrkr,@95_s01_10_TEMP_ToBeContinued_TalkTo_Skye_Styrkr_prompt,@95_s01_10_TEMP_ToBeContinued_TalkTo_Skye_Styrkr_next,,,,,
Topic_95_s01_10_TalkTo_Skye_WrapStraight,@95_s01_10_TEMP_ToBeContinued_TalkTo_Skye_Wrap_prompt,@95_s01_10_TEMP_ToBeContinued_TalkTo_Skye_Wrap_Straight_next,,95_s01_skye_straight,,,
Topic_95_s01_10_TalkTo_Skye_WrapJoke,@95_s01_10_TEMP_ToBeContinued_TalkTo_Skye_Wrap_prompt,@95_s01_10_TEMP_ToBeContinued_TalkTo_Skye_Wrap_Joke_next,,95_s01_skye_joke,,,
Topic_95_s01_10_TalkTo_Skye_WrapFlirt,@95_s01_10_TEMP_ToBeContinued_TalkTo_Skye_Wrap_prompt,@95_s01_10_TEMP_ToBeContinued_TalkTo_Skye_Wrap_Flirt_next,,95_s01_skye_flirt,,,
Topic_95_s01_10_TalkTo_Zander_Wrap,@95_s01_10_TEMP_ToBeContinued_TalkTo_Zander_Wrap_prompt,@95_s01_10_TEMP_ToBeContinued_TalkTo_Zander_Wrap_next,,,,,
Topic_95_s01_10_TalkTo_Dog_Wrap,@95_s01_10_TEMP_ToBeContinued_TalkTo_Dog_Wrap_prompt,@95_s01_10_TEMP_ToBeContinued_TalkTo_Dog_Wrap_next,,,,,
Topic_95_s01_10_TalkTo_Grace_Wrap,@95_s01_10_TEMP_ToBeContinued_TalkTo_Grace_Wrap_prompt,@95_s01_10_TEMP_ToBeContinued_TalkTo_Grace_Wrap_next,,,,,
