ConversationTopicId,PlayerPrompt,NPCResponse,AchievementUnlock,RequiredAchievement,RequiredFaction,RequiredLevel,ProvidedTopics
0623_Fisher_ExplainHotspots,@0223_Fisher_ExplainHotspots_Prompt,@0223_Fisher_ExplainHotspots_Response,,,,,
0923_Fisher_ExplainHotspots,@0223_Fisher_ExplainHotspots_Prompt,@0223_Fisher_ExplainHotspots_Response,,,,,
06_Gunter_FirstLight,@06_Gunter_FirstLight_Prompt,@06_Gunter_FirstLight_Response_a,,,,,
02_00_Outfitter_Transmog,@02_00_Outfitter_Transmog_Prompt,@02_00_Outfitter_Transmog_Response,,,,,
04_00_Outfitter_Transmog,@02_00_Outfitter_Transmog_Prompt,@04_00_Outfitter_Transmog_Response,,,,,
05_00_Outfitter_Transmog,@02_00_Outfitter_Transmog_Prompt,@05_00_Outfitter_Transmog_Response_a,,,,,
06_00_Outfitter_Transmog,@02_00_Outfitter_Transmog_Prompt,@06_00_Outfitter_Transmog_Response_a,,,,,
07_00_Outfitter_Transmog,@02_00_Outfitter_Transmog_Prompt,@07_00_Outfitter_Transmog_Response,,,,,
08_00_Outfitter_Transmog,@02_00_Outfitter_Transmog_Prompt,@08_00_Outfitter_Transmog_Response_a,,,,,
11_00_Outfitter_Transmog,@02_00_Outfitter_Transmog_Prompt,@11_00_Outfitter_Transmog_Response_a,,,,,
12_00_Outfitter_Transmog,@02_00_Outfitter_Transmog_Prompt,@12_00_Outfitter_Transmog_Response_a,,,,,
13_00_Outfitter_Transmog,@02_00_Outfitter_Transmog_Prompt,@13_00_Outfitter_Transmog_Response_a,,,,,
15_00_Outfitter_Transmog,@02_00_Outfitter_Transmog_Prompt,@15_00_Outfitter_Transmog_Response_a,,,,,
16_00_Outfitter_Transmog,@02_00_Outfitter_Transmog_Prompt,@16_00_Outfitter_Transmog_Response_a,,,,,
10_00_Outfitter_Transmog,@02_00_Outfitter_Transmog_Prompt,@10_00_Outfitter_Transmog_Response_a,,,,,
03_00_Outfitter_Transmog,@02_00_Outfitter_Transmog_Prompt,@03_00_Outfitter_Transmog_Response,,,,,
14_00_Outfitter_Transmog,@02_00_Outfitter_Transmog_Prompt,@14_00_Outfitter_Transmog_Response_a,,,,,
