ProgressionPointId,Description,PointPoolId,IsAbility,DoNotSpendPoint,PoolCategory,TerritoryBonusCategory,MaxLevel,RequiredCharacterLevel,RequiredCategoricalProgressionId,RequiredCategoricalProgressionLevel,RequiredProgressionPointId,RequiredProgressionPointLevel,UpgradeCardDescription,UpgradeCardSprite,UpgradeCardIcon,UpgradeCardCategory,UpgradeCardStat
Upgrade_Hatchet_Berserk_Unstoppable,,HatchetAbilityTable,1,,,,10,,,,Upgrade_Hatchet_Berserk_Purge,1,,,,,
Ability_Hatchet_FeralRush,,HatchetAbilityTable,1,,,,10,,,,,,,,,,
Upgrade_Hatchet_FeralRush_DMGVsLowHP,,HatchetAbilityTable,1,,,,10,,,,Ability_Hatchet_FeralRush,1,,,,,
Upgrade_Hatchet_FeralRush_BackstabRoot,,HatchetAbilityTable,1,,,,10,,,,Upgrade_Hatchet_FeralRush_DMGVsLowHP,1,,,,,
Ability_Hatchet_RagingTorrent,,HatchetAbilityTable,1,,,,10,,,,,,,,,,
Upgrade_Hatchet_Torrent_Haste,,HatchetAbilityTable,1,,,,10,,,,Ability_Hatchet_RagingTorrent,1,,,,,
Upgrade_Hatchet_Torrent_ExtraAtk,,HatchetAbilityTable,1,,,,10,,,,Upgrade_Hatchet_Torrent_Haste,1,,,,,
Passive_Hatchet_Berserk_LightHeavyVsLowHP,,HatchetAbilityTable,1,,,,10,,,,,,,,,,
Passive_Hatchet_Berserk_3LightsToHeavyDMG,,HatchetAbilityTable,1,,,,10,,,,,,,,,,
Passive_Hatchet_Berserk_HeavyEmpower,,HatchetAbilityTable,1,,,,10,,,,,,,,,,
Passive_Hatchet_Berserk_CDRAtLowHP,,HatchetAbilityTable,1,,,,10,,,,,,,,,,
Passive_Hatchet_Berserk_DMGPerNearbyEnemy,,HatchetAbilityTable,1,,,,10,,,,,,,,,,
Passive_Hatchet_Berserk_FortifyAfter3Attacks,,HatchetAbilityTable,1,,,,10,,,,,,,,,,
Passive_Hatchet_Berserk_PurgeDoTLowHP,,HatchetAbilityTable,1,,,,10,,,,,,,,,,
Ult_Passive_Hatchet_ImmortalWhen0HP,,HatchetAbilityTable,1,,,,10,,,,,,,,,,
Ability_Hatchet_RendingThrow,,HatchetAbilityTable,1,,,,10,,,,,,,,,,
Upgrade_Hatchet_RendThrow_DistanceBuffRend,,HatchetAbilityTable,1,,,,10,,,,Ability_Hatchet_RendingThrow,,,,,,
Upgrade_Hatchet_RendThrow_DmgOnDebuff,,HatchetAbilityTable,1,,,,10,,,,Upgrade_Hatchet_RendThrow_DistanceBuffRend,1,,,,,
Upgrade_Hatchet_RendThrow_CDROnDebuff,,HatchetAbilityTable,1,,,,10,,,,Upgrade_Hatchet_RendThrow_DmgOnDebuff,1,,,,,
Ability_Hatchet_SocialDistancing,,HatchetAbilityTable,1,,,,10,,,,,,,,,,
Passive_Hatchet_Distance_HasteOnDebuff,,HatchetAbilityTable,1,,,,10,,,,Ability_Hatchet_SocialDistancing,1,,,,,
Passive_Hatchet_Distance_BetterSlow,,HatchetAbilityTable,1,,,,10,,,,Passive_Hatchet_Distance_HasteOnDebuff,1,,,,,
Ability_Hatchet_InfectedThrow,,HatchetAbilityTable,1,,,,10,,,,,,,,,,
Upgrade_Hatchet_Infected_BuffWeakenVsLowHP,,HatchetAbilityTable,1,,,,10,,,,Ability_Hatchet_InfectedThrow,1,,,,,
Upgrade_Hatchet_Infected_AOE,,HatchetAbilityTable,1,,,,10,,,,Upgrade_Hatchet_Infected_BuffWeakenVsLowHP,1,,,,,
Passive_Hatchet_ThrowingAxe_AimedThrow,,HatchetAbilityTable,1,,,,10,,,,,,,,,,
Passive_Hatchet_ThrowingAxe_CriticalThrows,,HatchetAbilityTable,1,,,,10,,,,,,,,,,
Passive_Hatchet_ThrowingAxe_DmgVsDebuff,,HatchetAbilityTable,1,,,,10,,,,,,,,,,
Passive_Hatchet_ThrowingAxe_3rdThrowCrit,,HatchetAbilityTable,1,,,,10,,,,,,,,,,
Passive_Hatchet_ThrowingAxe_CDROnDebuffThrow,,HatchetAbilityTable,1,,,,10,,,,,,,,,,
Passive_Hatchet_ThrowingAxe_StaminaOnCrit,,HatchetAbilityTable,1,,,,10,,,,,,,,,,
Passive_Hatchet_ThrowingAxe_StaminaOnDebuff,,HatchetAbilityTable,1,,,,10,,,,,,,,,,
Passive_Hatchet_ThrowingAxe_AbilityDodgeStamina,,HatchetAbilityTable,1,,,,10,,,,,,,,,,
Ult_Passive_Hatchet_ExtendDebuffDuration,,HatchetAbilityTable,1,,,,10,,,,,,,,,,
Ability_Sword_ReverseStab,,SwordAbilityTable,1,,,,10,,,,,,,,,,
Upgrade_Sword_ReverseStab_Grit,,SwordAbilityTable,1,,,,10,,,,Ability_Sword_ReverseStab,1,,,,,
Upgrade_Sword_ReverseStab_CDRonHit,,SwordAbilityTable,1,,,,10,,,,Upgrade_Sword_ReverseStab_Grit,1,,,,,
Ability_Sword_WhirlingBlade,,SwordAbilityTable,1,,,,10,,,,,,,,,,
Upgrade_Sword_WhirlingBlade_Rend,,SwordAbilityTable,1,,,,10,,,,Ability_Sword_WhirlingBlade,1,,,,,
Upgrade_Sword_WhirlingBlade_CDR,,SwordAbilityTable,1,,,,10,,,,Upgrade_Sword_WhirlingBlade_Rend,1,,,,,
Ability_Sword_LeapingStrike,,SwordAbilityTable,1,,,,10,,,,,,,,,,
Upgrade_Sword_LeapingStrike_Extra,,SwordAbilityTable,1,,,,10,,,,Ability_Sword_LeapingStrike,1,,,,,
Upgrade_Sword_LeapingStrike_Slow,,SwordAbilityTable,1,,,,10,,,,Upgrade_Sword_LeapingStrike_Extra,1,,,,,
Passive_Sword_Swordmaster_DmgOnHeavy,,SwordAbilityTable,1,,,,10,,,,,,,,,,
Passive_Sword_Swordmaster_SlowOnFinal,,SwordAbilityTable,1,,,,10,,,,,,,,,,
Passive_Sword_Swordmaster_Crit,,SwordAbilityTable,1,,,,10,,,,,,,,,,
Passive_Sword_Swordmaster_RemoveOnHeavy,,SwordAbilityTable,1,,,,10,,,,,,,,,,
Passive_Sword_Swordmaster_HasteWhileBlock,,SwordAbilityTable,1,,,,10,,,,,,,,,,
Passive_Sword_Swordmaster_DmgWhileBlock,,SwordAbilityTable,1,,,,10,,,,,,,,,,
Passive_Sword_Swordmaster_DmgVsStunned,,SwordAbilityTable,1,,,,10,,,,,,,,,,
Passive_Sword_Swordmaster_HasteOnCrit,,SwordAbilityTable,1,,,,10,,,,,,,,,,
Passive_Sword_Swordmaster_DmgWhileFull,,SwordAbilityTable,1,,,,10,,,,,,,,,,
Ultimate_Sword_Swordmaster,,SwordAbilityTable,1,,,,10,,,,,,,,,,
Ability_Sword_Bash,,SwordAbilityTable,1,,,,10,,,,,,,,,,
Upgrade_Sword_Bash_Dmg,,SwordAbilityTable,1,,,,10,,,,Ability_Sword_Bash,1,,,,,
Upgrade_Sword_Bash_StunDur,,SwordAbilityTable,1,,,,10,,,,Upgrade_Sword_Bash_Dmg,1,,,,,
Ability_Sword_Rush,,SwordAbilityTable,1,,,,10,,,,,,,,,,
Upgrade_Sword_Rush_Weak,,SwordAbilityTable,1,,,,10,,,,Ability_Sword_Rush,1,,,,,
Upgrade_Sword_Rush_Slow,,SwordAbilityTable,1,,,,10,,,,Upgrade_Sword_Rush_Weak,1,,,,,
Ability_Sword_FinalStand,,SwordAbilityTable,1,,,,10,,,,,,,,,,
Upgrade_Sword_FinalStand_ArmorAboveHalf,,SwordAbilityTable,1,,,,10,,,,Ability_Sword_FinalStand,1,,,,,
Upgrade_Sword_FinalStand_Heal,,SwordAbilityTable,1,,,,10,,,,Upgrade_Sword_FinalStand_ArmorAboveHalf,1,,,,,
Passive_Sword_Defender_Armor,,SwordAbilityTable,1,,,,10,,,,,,,,,,
Passive_Sword_Defender_MeleeBlock,,SwordAbilityTable,1,,,,10,,,,,,,,,,
Passive_Sword_Defender_EleArmor,,SwordAbilityTable,1,,,,10,,,,,,,,,,
Passive_Sword_Defender_FortWhileBlock,,SwordAbilityTable,1,,,,10,,,,,,,,,,
Passive_Sword_Defender_RngBlock,,SwordAbilityTable,1,,,,10,,,,,,,,,,
Passive_Sword_Defender_CDRWhileBlock,,SwordAbilityTable,1,,,,10,,,,,,,,,,
Passive_Sword_Defender_DmgOnFinal,,SwordAbilityTable,1,,,,10,,,,,,,,,,
Passive_Sword_Defender_StaminaGain,,SwordAbilityTable,1,,,,10,,,,,,,,,,
Passive_Sword_Defender_HealBoost,,SwordAbilityTable,1,,,,10,,,,,,,,,,
Ultimate_Sword_Defender,,SwordAbilityTable,1,,,,10,,,,,,,,,,
Ability_Bow_PoisonShot,,BowAbilityTable,1,,,,10,,,,,,,,,,
Upgrade_Bow_PoisonShot_PoisonDmg,,BowAbilityTable,1,,,,10,,,,Ability_Bow_PoisonShot,1,,,,,
Upgrade_Bow_PoisonShot_DirectDmg,,BowAbilityTable,1,,,,10,,,,Upgrade_Bow_PoisonShot_PoisonDmg,1,,,,,
Ability_Bow_EvadeShot,,BowAbilityTable,1,,,,10,,,,,,,,,,
Upgrade_Bow_EvasiveShot_Knockback,,BowAbilityTable,1,,,,10,,,,Ability_Bow_EvadeShot,1,,,,,
Upgrade_Bow_EvasiveShot_Haste,,BowAbilityTable,1,,,,10,,,,Upgrade_Bow_EvasiveShot_Knockback,1,,,,,
Ability_Bow_RainofArrows,,BowAbilityTable,1,,,,10,,,,,,,,,,
Upgrade_Bow_RainofArrows_Bleed,,BowAbilityTable,1,,,,10,,,,Ability_Bow_RainofArrows,1,,,,,
Upgrade_Bow_RainofArrows_Slow,,BowAbilityTable,1,,,,10,,,,Upgrade_Bow_RainofArrows_Bleed,1,,,,,
Passive_Bow_Skirmish_RendHead,,BowAbilityTable,1,,,,10,,,,,,,,,,
Passive_Bow_Skirmish_HasteWhenFoesNear,,BowAbilityTable,1,,,,10,,,,,,,,,,
Passive_Bow_Skirmish_CDRVsLow,,BowAbilityTable,1,,,,10,,,,,,,,,,
Passive_Bow_Skirmish_SlowFull,,BowAbilityTable,1,,,,10,,,,,,,,,,
Passive_Bow_Skirmish_StaminaVsDebuff,,BowAbilityTable,1,,,,10,,,,,,,,,,
Passive_Bow_Skirmish_DodgeHaste,,BowAbilityTable,1,,,,10,,,,,,,,,,
Passive_Bow_Skirmish_HasteOnSwap,,BowAbilityTable,1,,,,10,,,,,,,,,,
Passive_Bow_Skirmish_DmgVsDebuff,,BowAbilityTable,1,,,,10,,,,,,,,,,
Passive_Bow_Skirmish_DebuffDur,,BowAbilityTable,1,,,,10,,,,,,,,,,
Ultimate_Bow_Skirmish,,BowAbilityTable,1,,,,10,,,,,,,,,,
Ability_Bow_RapidShot,,BowAbilityTable,1,,,,10,,,,,,,,,,
Upgrade_Bow_RapidAccuracy_CDROnLast,,BowAbilityTable,1,,,,10,,,,Ability_Bow_RapidShot,1,,,,,
Upgrade_Bow_RapidAccuracy_DmgOnLast,,BowAbilityTable,1,,,,10,,,,Upgrade_Bow_RapidAccuracy_CDROnLast,1,,,,,
Ability_Bow_PenetratingShot,,BowAbilityTable,1,,,,10,,,,,,,,,,
Upgrade_Bow_PenetratingShot_DmgPerHit,,BowAbilityTable,1,,,,10,,,,Ability_Bow_PenetratingShot,1,,,,,
Upgrade_Bow_PenetratingShot_DmgPerDist,,BowAbilityTable,1,,,,10,,,,Upgrade_Bow_PenetratingShot_DmgPerHit,1,,,,,
Ability_Bow_SplinterShot,,BowAbilityTable,1,,,,10,,,,,,,,,,
Upgrade_Bow_SplinterShot_CDRPerHIt,,BowAbilityTable,1,,,,10,,,,Ability_Bow_SplinterShot,1,,,,,
Upgrade_Bow_SplinterShot_FiveA,,BowAbilityTable,1,,,,10,,,,Upgrade_Bow_SplinterShot_CDRPerHIt,1,,,,,
Passive_Bow_Hunter_DmgVsDist,,BowAbilityTable,1,,,,10,,,,,,,,,,
Passive_Bow_Hunter_HeavyDmg,,BowAbilityTable,1,,,,10,,,,,,,,,,
Passive_Bow_Hunter_ArmorAimHeavy,,BowAbilityTable,1,,,,10,,,,,,,,,,
Passive_Bow_Hunter_DmgVsLow,,BowAbilityTable,1,,,,10,,,,,,,,,,
Passive_Bow_Hunter_HeavyDmgVsFull,,BowAbilityTable,1,,,,10,,,,,,,,,,
Passive_Bow_Hunter_DmgOnFirst,,BowAbilityTable,1,,,,10,,,,,,,,,,
Passive_Bow_Hunter_Accuracy,,BowAbilityTable,1,,,,10,,,,,,,,,,
Passive_Bow_Hunter_HealOnFive,,BowAbilityTable,1,,,,10,,,,,,,,,,
Passive_Bow_Hunter_Crit,,BowAbilityTable,1,,,,10,,,,,,,,,,
Ultimate_Bow_Hunter,,BowAbilityTable,1,,,,10,,,,,,,,,,
Ability_Musket_PowerShot,,MusketAbilityTable,1,,,,10,,,,,,,,,,
Upgrade_Musket_Power_Empower,,MusketAbilityTable,1,,,,10,,,,Ability_Musket_PowerShot,1,,,,,
Upgrade_Musket_Power_DmgAtFullHealth,,MusketAbilityTable,1,,,,10,,,,Upgrade_Musket_Power_Empower,1,,,,,
Upgrade_Musket_Power_CDRonHeadshot,,MusketAbilityTable,1,,,,10,,,,Upgrade_Musket_Power_DmgAtFullHealth,1,,,,,
Ability_Musket_PowderBurn,,MusketAbilityTable,1,,,,10,,,,,,,,,,
Upgrade_Musket_Burn_DmgWhileOnFire,,MusketAbilityTable,1,,,,10,,,,Ability_Musket_PowderBurn,1,,,,,
Upgrade_Musket_Burn_ExtendBurnOnHeadshot,,MusketAbilityTable,1,,,,10,,,,Upgrade_Musket_Burn_DmgWhileOnFire,1,,,,,
Ability_Musket_ShootersStance,,MusketAbilityTable,1,,,,10,,,,,,,,,,
Upgrade_Musket_Shooters_ShootMore,,MusketAbilityTable,1,,,,10,,,,Ability_Musket_ShootersStance,1,,,,,
Upgrade_Musket_Shooters_CDROnSameTarget,,MusketAbilityTable,1,,,,10,,,,Upgrade_Musket_Shooters_ShootMore,1,,,,,
Passive_Musket_Sharpshooter_3HeadshotReload,,MusketAbilityTable,1,,,,10,,,,,,,,,,
Passive_Musket_Sharpshooter_DMGIfAim2Sec,,MusketAbilityTable,1,,,,10,,,,,,,,,,
Passive_Musket_Sharpshooter_Accuracy,,MusketAbilityTable,1,,,,10,,,,,,,,,,
Passive_Musket_Sharpshooter_EmpowerOnHeadshot,,MusketAbilityTable,1,,,,10,,,,,,,,,,
Passive_Musket_Sharpshooter_DmgFallOff,,MusketAbilityTable,1,,,,10,,,,,,,,,,
Passive_Musket_Sharpshooter_CDROnHeadshot,,MusketAbilityTable,1,,,,10,,,,,,,,,,
Passive_Musket_Sharpshooter_CritChanceDistance,,MusketAbilityTable,1,,,,10,,,,,,,,,,
Passive_Musket_Sharpshooter_Precision,,MusketAbilityTable,1,,,,10,,,,,,,,,,
Ult_Passive_Musket_ZoomHeadshot,,MusketAbilityTable,1,,,,10,,,,,,,,,,
Ability_Musket_Traps,,MusketAbilityTable,1,,,,10,,,,,,,,,,
Upgrade_Musket_TrapRend,,MusketAbilityTable,1,,,,10,,,,Ability_Musket_Traps,1,,,,,
Upgrade_Musket_TrapLifeSteal,,MusketAbilityTable,1,,,,10,,,,Upgrade_Musket_TrapRend,1,,,,,
Upgrade_Musket_DoubleTrap,,MusketAbilityTable,1,,,,10,,,,Upgrade_Musket_TrapLifeSteal,1,,,,,
Ability_Musket_StickyBomb,,MusketAbilityTable,1,,,,10,,,,,,,,,,
Passive_Musket_StickyStamina,,MusketAbilityTable,1,,,,10,,,,Ability_Musket_StickyBomb,1,,,,,
Passive_Musket_StickySlow,,MusketAbilityTable,1,,,,10,,,,Passive_Musket_StickyStamina,1,,,,,
Ability_Musket_StoppingPower,,MusketAbilityTable,1,,,,10,,,,,,,,,,
Upgrade_Musket_StoppingExhaust,,MusketAbilityTable,1,,,,10,,,,Ability_Musket_StoppingPower,1,,,,,
Upgrade_Musket_StoppingSlow,,MusketAbilityTable,1,,,,10,,,,Upgrade_Musket_StoppingExhaust,1,,,,,
Passive_Musket_Trapper_DMGvsLowHP,,MusketAbilityTable,1,,,,10,,,,,,,,,,
Passive_Musket_Trapper_BackSpdNearEnemy,,MusketAbilityTable,1,,,,10,,,,,,,,,,
Passive_Musket_Trapper_StamDMGPenetrate,,MusketAbilityTable,1,,,,10,,,,,,,,,,
Passive_Musket_Trapper_EmpowerOnDebuffHit,,MusketAbilityTable,1,,,,10,,,,,,,,,,
Passive_Musket_Trapper_HasteOnDodge,,MusketAbilityTable,1,,,,10,,,,,,,,,,
Passive_Musket_Trapper_DodgeReload,,MusketAbilityTable,1,,,,10,,,,,,,,,,
Passive_Musket_Trapper_StaminaOnDebuffHit,,MusketAbilityTable,1,,,,10,,,,,,,,,,
Passive_Musket_Trapper_DMGOnDebuffHit,,MusketAbilityTable,1,,,,10,,,,,,,,,,
Ult_Passive_Musket_StackAbilities,,MusketAbilityTable,1,,,,10,,,,,,,,,,
Ability_Blunderbuss_ClawShot,,BlunderbussAbilityTable,1,,,,10,,,,,,,,,,
Blunderbuss_ClawShot_Mod1,,BlunderbussAbilityTable,1,,,,10,,,,Ability_Blunderbuss_ClawShot,1,,,,,
Blunderbuss_ClawShot_Mod2,,BlunderbussAbilityTable,1,,,,10,,,,Blunderbuss_ClawShot_Mod1,1,,,,,
Blunderbuss_ClawShot_Mod3,,BlunderbussAbilityTable,1,,,,10,,,,Blunderbuss_ClawShot_Mod2,1,,,,,
Ability_Blunderbuss_NetShot,,BlunderbussAbilityTable,1,,,,10,,,,,,,,,,
Blunderbuss_NetShot_Mod1,,BlunderbussAbilityTable,1,,,,10,,,,Ability_Blunderbuss_NetShot,1,,,,,
Blunderbuss_NetShot_Mod3,,BlunderbussAbilityTable,1,,,,10,,,,Blunderbuss_NetShot_Mod1,1,,,,,
Blunderbuss_NetShot_Mod2,,BlunderbussAbilityTable,1,,,,10,,,,Blunderbuss_NetShot_Mod3,1,,,,,
Ability_Blunderbuss_AzothShrapnelBlast,,BlunderbussAbilityTable,1,,,,10,,,,,,,,,,
Blunderbuss_AzothShrapnelBlast_Mod1,,BlunderbussAbilityTable,1,,,,10,,,,Ability_Blunderbuss_AzothShrapnelBlast,1,,,,,
Blunderbuss_AzothShrapnelBlast_Mod2,,BlunderbussAbilityTable,1,,,,10,,,,Blunderbuss_AzothShrapnelBlast_Mod1,1,,,,,
Blunderbuss_AzothShrapnelBlast_Mod3,,BlunderbussAbilityTable,1,,,,10,,,,Blunderbuss_AzothShrapnelBlast_Mod2,1,,,,,
Blunderbuss_AzothShrapnelBlast_Mod4,,BlunderbussAbilityTable,1,,,,10,,,,Blunderbuss_AzothShrapnelBlast_Mod3,1,,,,,
Blunderbuss_DeepLoad,,BlunderbussAbilityTable,1,,,,10,,,,,,,,,,
Blunderbuss_FortifyCloseRange,,BlunderbussAbilityTable,1,,,,10,,,,,,,,,,
Blunderbuss_FutureEndeavors,,BlunderbussAbilityTable,1,,,,10,,,,,,,,,,
Blunderbuss_Ramp,,BlunderbussAbilityTable,1,,,,10,,,,,,,,,,
Blunderbuss_RunAndGun,,BlunderbussAbilityTable,1,,,,10,,,,,,,,,,
Blunderbuss_Unload,,BlunderbussAbilityTable,1,,,,10,,,,,,,,,,
Ability_Blunderbuss_SplittingGrenade,,BlunderbussAbilityTable,1,,,,10,,,,,,,,,,
Blunderbuss_SplittingGrenade_Mod1,,BlunderbussAbilityTable,1,,,,10,,,,Ability_Blunderbuss_SplittingGrenade,1,,,,,
Blunderbuss_SplittingGrenade_Mod2,,BlunderbussAbilityTable,1,,,,10,,,,Blunderbuss_SplittingGrenade_Mod1,1,,,,,
Blunderbuss_SplittingGrenade_Mod3,,BlunderbussAbilityTable,1,,,,10,,,,Blunderbuss_SplittingGrenade_Mod2,1,,,,,
Ability_Blunderbuss_MortarShot,,BlunderbussAbilityTable,1,,,,10,,,,,,,,,,
Blunderbuss_MortarShot_Mod1,,BlunderbussAbilityTable,1,,,,10,,,,Ability_Blunderbuss_MortarShot,1,,,,,
Blunderbuss_MortarShot_Mod2,,BlunderbussAbilityTable,1,,,,10,,,,Blunderbuss_MortarShot_Mod1,1,,,,,
Blunderbuss_MortarShot_Mod3,,BlunderbussAbilityTable,1,,,,10,,,,Blunderbuss_MortarShot_Mod2,1,,,,,
Ability_Blunderbuss_VortexShot,,BlunderbussAbilityTable,1,,,,10,,,,,,,,,,
Blunderbuss_VortexShot_Mod1,,BlunderbussAbilityTable,1,,,,10,,,,Ability_Blunderbuss_VortexShot,1,,,,,
Blunderbuss_VortexShot_Mod2,,BlunderbussAbilityTable,1,,,,10,,,,Blunderbuss_VortexShot_Mod1,1,,,,,
Blunderbuss_Artillery,,BlunderbussAbilityTable,1,,,,10,,,,,,,,,,
Blunderbuss_Buckshot,,BlunderbussAbilityTable,1,,,,10,,,,,,,,,,
Blunderbuss_FuturePlanning,,BlunderbussAbilityTable,1,,,,10,,,,,,,,,,
Blunderbuss_BiteBack,,BlunderbussAbilityTable,1,,,,10,,,,,,,,,,
Blunderbuss_OverLoad,,BlunderbussAbilityTable,1,,,,10,,,,,,,,,,
Blunderbuss_OnARoll,,BlunderbussAbilityTable,1,,,,10,,,,,,,,,,
Blunderbuss_LastChance,,BlunderbussAbilityTable,1,,,,10,,,,,,,,,,
Blunderbuss_Charge,,BlunderbussAbilityTable,1,,,,10,,,,,,,,,,
Ability_Warhammer_ArmorBreaker,,WarHammerAbilityTable,1,,,,10,,,,,,,,,,
Upgrade_WarHammer_ArmBreak_Grit,,WarHammerAbilityTable,1,,,,10,,,,Ability_Warhammer_ArmorBreaker,1,,,,,
Upgrade_WarHammer_ArmBreak_Rend,,WarHammerAbilityTable,1,,,,10,,,,Upgrade_WarHammer_ArmBreak_Grit,1,,,,,
Upgrade_WarHammer_ArmBreak_DmgFullHealth,,WarHammerAbilityTable,1,,,,10,,,,Upgrade_WarHammer_ArmBreak_Rend,1,,,,,
Ability_WarHammer_MightyGavel,,WarHammerAbilityTable,1,,,,10,,,,,,,,,,
